roll,mean,std,marginal,s1_prob,s2_prob,s3_ot_remaining,n_s3_ot_total,p1,p5,p10,p25,p50,p75,p90,p95,p99
87,495.3450,116.5636,11.6131,1.000000,0.984110,714.14,737,334.00,363.00,382.00,419.00,469.00,534.00,659.00,738.00,897.00
88,507.0620,119.1285,11.7170,1.000000,0.988017,713.88,737,341.00,372.00,391.00,429.00,479.00,546.00,678.00,754.00,916.00
89,518.7486,121.4792,11.6866,1.000000,0.991253,713.62,737,349.00,380.00,401.00,439.00,490.00,559.00,696.00,769.00,935.00
90,528.9423,123.9209,10.1936,1.000000,0.992553,713.34,737,355.00,388.00,408.00,447.00,499.00,570.00,711.00,783.00,953.00
91,540.8983,126.0432,11.9560,1.000000,0.995210,713.08,737,363.00,397.00,418.00,458.00,510.00,583.00,728.00,798.00,970.00
92,552.5003,128.2896,11.6021,1.000000,0.996690,712.82,737,372.00,406.00,428.00,467.00,521.00,596.00,743.00,812.00,989.00
93,564.1341,130.4457,11.6338,1.000000,0.997733,712.56,737,380.00,415.00,437.00,477.00,531.00,609.00,759.00,826.00,1006.00
94,575.8102,132.5517,11.6760,1.000000,0.998523,712.30,737,388.00,424.00,446.00,487.00,542.00,623.00,773.00,840.00,1023.00
95,587.4266,134.6098,11.6164,1.000000,0.999050,712.03,737,397.00,433.00,456.00,497.00,553.00,636.25,788.00,854.00,1039.00
96,599.0487,136.6674,11.6221,1.000000,0.999387,711.77,737,405.00,443.00,465.00,507.00,563.00,650.00,802.00,868.00,1055.00
97,610.7370,138.7425,11.6883,1.000000,0.999680,711.51,737,414.00,452.00,475.00,517.00,574.00,664.00,816.00,881.00,1071.00
98,622.3907,140.6700,11.6537,1.000000,0.999847,711.24,737,423.00,461.00,484.00,527.00,585.00,679.00,830.00,895.00,1086.00
99,634.0591,142.5986,11.6684,1.000000,0.999927,710.98,737,432.00,470.00,493.00,536.00,595.00,693.00,843.00,908.00,1101.00
100,645.2463,144.7455,11.1872,1.000000,0.999957,710.71,737,439.00,479.00,502.00,546.00,606.00,708.00,857.00,922.00,1118.00
101,657.0520,146.6311,11.8057,1.000000,1.000000,710.45,737,449.00,488.00,512.00,556.00,616.00,723.00,870.00,936.00,1133.00
102,668.7303,148.4367,11.6783,1.000000,1.000000,710.19,737,458.00,498.00,521.00,566.00,627.00,739.00,883.00,950.00,1148.00
103,680.3039,150.3016,11.5737,1.000000,1.000000,709.93,737,467.00,507.00,531.00,576.00,638.00,754.00,896.00,964.00,1163.00
104,691.9009,152.0993,11.5970,1.000000,1.000000,709.66,737,476.00,516.00,540.00,585.00,649.00,770.00,909.00,978.00,1177.00
105,703.4834,153.9313,11.5825,1.000000,1.000000,709.40,737,485.00,525.00,550.00,595.00,660.00,785.00,922.00,992.00,1194.00
106,715.1513,155.6538,11.6678,1.000000,1.000000,709.14,737,494.00,535.00,559.00,605.00,671.00,801.00,935.00,1006.00,1208.00
